File: drive/output/derived/org_outcomes_practices/repo_collaboration/all/rolling5/nathan-fiscaletti___ipstackgeo-py.parquet

MD5 hash: 004efbd2b6139265d533c5970b52558a

Keys: time_period 

                                            type  count                 mean                  min                  25%                  50%                  75%                  max       std
time_period                       datetime64[ns]      2  2021-04-01 00:00:00  2019-07-01 00:00:00  2020-05-16 00:00:00  2021-04-01 00:00:00  2022-02-15 00:00:00  2023-01-01 00:00:00          
avg_members_per_problem                  float64      1                  2.0                  2.0                  2.0                  2.0                  2.0                  2.0          
pct_members_multiple                     float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0          
proj_hhi_discussion_comment              float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0          
proj_hhi_issue_closed                    float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0          
proj_hhi_issue_comment                   float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0          
proj_hhi_issue_opened                    float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0          
proj_hhi_pull_request_opened             float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0          
proj_prob_hhi_discussion_comment         float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0          
proj_prob_hhi_issue_comment              float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0          
num_active_members                         Int64      2                  1.5                  1.0                 1.25                  1.5                 1.75                  2.0  0.707107

