File: drive/output/derived/org_outcomes_practices/repo_collaboration/all/rolling5/kalmat___pywinbox.parquet

MD5 hash: c759591f7ad28300a5f8710ad02a7b53

Keys: time_period 

                                              type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                         datetime64[ns]      1  2023-07-01 00:00:00  2023-07-01 00:00:00  2023-07-01 00:00:00  2023-07-01 00:00:00  2023-07-01 00:00:00  2023-07-01 00:00:00    
avg_members_per_problem                    float64      1                  2.0                  2.0                  2.0                  2.0                  2.0                  2.0    
pct_members_multiple                       float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_discussion_comment                float64      1             0.448889             0.448889             0.448889             0.448889             0.448889             0.448889    
proj_hhi_pull_request_comment              float64      1             0.448889             0.448889             0.448889             0.448889             0.448889             0.448889    
proj_hhi_pull_request_merged               float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_opened               float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5    
proj_hhi_pull_request_review               float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_prob_hhi_discussion_comment           float64      1             0.502564             0.502564             0.502564             0.502564             0.502564             0.502564    
proj_prob_hhi_pull_request_comment         float64      1             0.502564             0.502564             0.502564             0.502564             0.502564             0.502564    
proj_prob_hhi_pull_request_review          float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
num_active_members                           Int64      1                  3.0                  3.0                  3.0                  3.0                  3.0                  3.0    

