repo_name,time_period,prs_opened,commits,commit_additions,commit_deletions,commit_changes_total,commit_files_changed_count,pr_commits,pr_commit_additions,pr_commit_deletions,pr_commit_changes_total,pr_commit_files_changed_count,push_commits,push_commit_additions,push_commit_deletions,push_commit_changes_total,push_commit_files_changed_count,commits_lt100,commit_additions_lt100,commit_deletions_lt100,commit_changes_total_lt100,commit_files_changed_count_lt100,push_commits_lt100,push_commit_additions_lt100,push_commit_deletions_lt100,push_commit_changes_total_lt100,push_commit_files_changed_count_lt100,pr_commits_lt100,pr_commit_additions_lt100,pr_commit_deletions_lt100,pr_commit_changes_total_lt100,pr_commit_files_changed_count_lt100,comments,issue_comments,pr_comments,own_issue_comments,helping_issue_comments,own_pr_comments,helping_pr_comments,linked_pr_issue_comments,issues_opened,issues_opened_with_linked_pr,pr_reviews,pr_review_comments,prs_merged,issues_closed,first_period,final_period,closed_issue,closed_in_30_days,closed_in_60_days,closed_in_90_days,closed_in_180_days,closed_in_360_days,prs_closed_unmerged,p_prs_closed_unmerged,p_prs_merged,p_review_state_commented,p_review_state_approved,p_review_state_changes_requested,p_prs_merged_30d,p_prs_merged_60d,p_prs_merged_90d,p_prs_merged_180d,p_prs_merged_360d,prs_closed,p_prs_closed,mean_pr_reviews,time_index,departed_actor_id,last_pre_period,treatment_period,abandoned_date,treated_project,treatment,treatment_group,total_important,total_nodes,mean_cluster_overlap,avg_clusters_per_node,pct_nodes_one_cluster,HHI_normalized_degree,HHI_individual_coverage,HHI_individual_coverage_cluster,normalized_degree,imp_to_other_avg_edge_weight,important,imp_to_other_perc_10,imp_to_other_perc_25,imp_to_other_perc_50,imp_to_other_perc_75,imp_to_other_perc_90,imp_to_imp_avg_edge_weight,imp_to_imp_perc_10,imp_to_imp_perc_25,imp_to_imp_perc_50,imp_to_imp_perc_75,imp_to_imp_perc_90,individual_node_coverage,individual_coverage_cluster,overall_overlap,weighted_overall_overlap,prop_important,total_downloads,total_downloads_one_project,total_downloads_period,total_downloads_one_project_period
TheHive-Project/Cortex-Analyzers,2017-01-01,0.5,1,222,0,222,6,1,222,0,222,6,0,0,0,0,0,1,222,0,222,6,0,0,0,0,0,1,222,0,222,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,5,2846609,2020-01-01,2020-07-01,,1,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheHive-Project/Cortex-Analyzers,2017-07-01,12.5,33,15893,5782,21675,699,19,8250,4148,12398,331,14,7643,1634,9277,368,30,5470,1374,6844,208,12,3140,741,3881,149,18,2330,633,2963,59,13,8,5,2,6,0,5,10,7,7,0,0,6,7,2017-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,6,2846609,2020-01-01,2020-07-01,,1,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheHive-Project/Cortex-Analyzers,2018-01-01,16,308,88285,44943,133228,3905,25,2966,618,3584,107,283,85319,44325,129644,3798,292,48003,24255,72258,2086,267,45037,23637,68674,1979,25,2966,618,3584,107,232,161,71,59,102,24,47,90,111,59,0,10,23,70,2017-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,7,2846609,2020-01-01,2020-07-01,,1,0,12,3,49,41.304347826087,1.28947368421053,78.9473684210526,0.385355029585799,0.39192003331945,0.39192003331945,0.5625,4.52,TRUE,1,1,3,5,10.8,6.5,6.1,6.25,6.5,6.75,6.9,53.0612244897959,68.421052631579,32,60.1769911504425,0.0612244897959184,,,,
TheHive-Project/Cortex-Analyzers,2018-07-01,27,229,95413,32919,128332,3461,37,22329,2647,24976,312,192,73084,30272,103356,3149,219,56704,14036,70740,1518,183,36255,13084,49339,1366,36,20449,952,21401,152,191,141,50,52,89,12,38,68,96,49,0,18,31,60,2017-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,8,2846609,2020-01-01,2020-07-01,,1,0,12,3,43,41.4634146341463,1.25714285714286,77.1428571428572,0.33802055164954,0.338842975206612,0.338842975206612,0.380952380952381,4.13333333333333,TRUE,1,2,3,5.5,8.4,2,2,2,2,2,2,37.2093023255814,45.7142857142857,40,45.1612903225806,0.0697674418604651,,,,
TheHive-Project/Cortex-Analyzers,2019-01-01,27.5,124,100251,38283,138534,1244,39,16738,6152,22890,623,85,83513,32131,115644,621,123,86610,33135,119745,767,85,83513,32131,115644,621,38,3097,1004,4101,146,178,111,67,37,74,27,40,74,72,43,0,2,23,40,2017-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,9,2846609,2020-01-01,2020-07-01,,1,0,12,2,52,25,1.13513513513514,86.4864864864865,0.501133786848073,0.501133786848073,0.501133786848073,0.117647058823529,3.6,FALSE,1.8,3,4,4,5.2,7,7,7,7,7,7,,,,,0.0384615384615385,9178,9178,12574058189,12144150087
TheHive-Project/Cortex-Analyzers,2019-07-01,22.5,99,241734,71322,313056,3694,31,62561,16835,79396,887,68,179173,54487,233660,2807,85,46078,17628,63706,938,56,17334,9160,26494,491,29,28744,8468,37212,447,118,66,52,14,52,19,33,41,45,31,0,0,27,34,2017-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,10,2846609,2020-01-01,2020-07-01,,1,0,12,3,40,32,1.16666666666667,83.3333333333333,0.334027055150885,0.334183673469388,0.334183673469388,0.256410256410256,3.25,TRUE,1.7,2,2.5,4.25,5.6,1.5,1.1,1.25,1.5,1.75,1.9,22.5,37.5,37.5,30.7692307692308,0.075,10191,10191,17417408741,16836557216
TheHive-Project/Cortex-Analyzers,2020-01-01,38.6666666666667,198,508160,60547,568707,6289,57,104095,21681,125776,1403,141,404065,38866,442931,4886,177,66611,22541,89152,1418,124,59230,9044,68274,1165,53,7381,13497,20878,253,390,204,186,67,137,71,115,249,136,148,0,25,60,75,2017-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,11,2846609,2020-01-01,2020-07-01,,1,0,12,4,56,56.0606060606061,1.48936170212766,70.2127659574468,0.269888231426693,0.27469387755102,0.27469387755102,0.0545454545454545,5.5,FALSE,2.7,3.75,5.5,7.25,8.3,5,5,5,5,5,5,,,,,0.0714285714285714,16086,16086,22357107133,21565249938
TheHive-Project/Cortex-Analyzers,2020-07-01,19.8333333333333,149,155348,127567,282915,3604,35,41433,29910,71343,822,114,113915,97657,211572,2782,130,22022,8419,30441,811,97,16552,4784,21336,637,33,5470,3635,9105,174,378,269,109,103,166,49,60,185,132,85,22,20,21,53,2017-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,12,2846609,2020-01-01,2020-07-01,,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,11903,11903,30584657165,29729975178
TheHive-Project/Cortex-Analyzers,2021-01-01,26,100,152031,57354,209385,3727,45,9776,2620,12396,283,55,142255,54734,196989,3444,89,37804,19173,56977,1049,45,33684,18327,52011,897,44,4120,846,4966,152,176,106,70,50,56,28,42,77,62,37,14,10,21,16,2017-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,13,2846609,2020-01-01,2020-07-01,,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,18637,18637,41287849980,40133044925
TheHive-Project/Cortex-Analyzers,2021-07-01,5.5,51,135684,91166,226850,4308,7,4342,116,4458,38,44,131342,91050,222392,4270,41,14164,4894,19058,205,34,9822,4778,14600,167,7,4342,116,4458,38,57,44,13,16,28,5,8,32,38,26,4,4,11,31,2017-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,14,2846609,2020-01-01,2020-07-01,,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,19554,19554,55083339709,53314796393
