time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2022-07,top_k,3,degree_centrality_z,3,"[134518, 5386983, 12471703]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[12471703],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[329812, 3579815, 12471703]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[12471703],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[2043821, 5386983, 8824202]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[8824202],0,[],0,[],2,
