time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-07,top_k,3,degree_centrality_z,4,"[3757488, 9951059, 13831456, 22429695]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[3757488],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[3757488, 22429695, 49699333]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[22429695],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[3155025, 3757488, 22429695]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[3757488],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[423943, 3757488, 10156255]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[3757488],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[3757488, 22429695, 49699333]",1,[3757488],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[22429695],0,[],0,[],2,
