File: drive/output/derived/org_outcomes_practices/repo_collaboration/important_degree_top3/rolling5/daipe-ai___benvy.parquet

MD5 hash: e5bd14e55777eaf47539e70c5706bb49

Keys: time_period 

                                                     type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                                datetime64[ns]      1  2022-01-01 00:00:00  2022-01-01 00:00:00  2022-01-01 00:00:00  2022-01-01 00:00:00  2022-01-01 00:00:00  2022-01-01 00:00:00    
avg_members_per_problem                           float64      1                1.625                1.625                1.625                1.625                1.625                1.625    
pct_members_multiple                              float64      1                0.625                0.625                0.625                0.625                0.625                0.625    
proj_hhi_discussion_comment                       float64      1             0.755102             0.755102             0.755102             0.755102             0.755102             0.755102    
proj_hhi_pull_request_closed                      float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_merged                      float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_opened                      float64      1              0.46875              0.46875              0.46875              0.46875              0.46875              0.46875    
proj_hhi_pull_request_review                      float64      1                 0.52                 0.52                 0.52                 0.52                 0.52                 0.52    
proj_hhi_pull_request_review_comment              float64      1             0.755102             0.755102             0.755102             0.755102             0.755102             0.755102    
proj_prob_hhi_discussion_comment                  float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_prob_hhi_pull_request_review                 float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_prob_hhi_pull_request_review_comment         float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
num_active_members                                  Int64      1                  4.0                  4.0                  4.0                  4.0                  4.0                  4.0    

