File: drive/output/derived/org_outcomes_practices/repo_collaboration/important_degree_top3/rolling5/scikit-plots___scikit-plots.parquet

MD5 hash: 0667faaae2668e1307463496d0b78341

Keys: time_period 

                                              type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                         datetime64[ns]      1  2025-01-01 00:00:00  2025-01-01 00:00:00  2025-01-01 00:00:00  2025-01-01 00:00:00  2025-01-01 00:00:00  2025-01-01 00:00:00    
avg_members_per_problem                    float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
pct_members_multiple                       float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0    
proj_hhi_discussion_comment                float64      1             0.608463             0.608463             0.608463             0.608463             0.608463             0.608463    
proj_hhi_issue_closed                      float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_issue_opened                      float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_closed               float64      1             0.513889             0.513889             0.513889             0.513889             0.513889             0.513889    
proj_hhi_pull_request_comment              float64      1             0.608463             0.608463             0.608463             0.608463             0.608463             0.608463    
proj_hhi_pull_request_merged               float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_opened               float64      1             0.714625             0.714625             0.714625             0.714625             0.714625             0.714625    
proj_hhi_pull_request_review               float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_prob_hhi_discussion_comment           float64      1             0.939498             0.939498             0.939498             0.939498             0.939498             0.939498    
proj_prob_hhi_pull_request_comment         float64      1             0.939498             0.939498             0.939498             0.939498             0.939498             0.939498    
proj_prob_hhi_pull_request_review          float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
num_active_members                           Int64      1                  4.0                  4.0                  4.0                  4.0                  4.0                  4.0    

