File: drive/output/derived/org_outcomes_practices/repo_collaboration/important_degree_top3/rolling5/blue-yonder___urlquote.parquet

MD5 hash: becd4c8dd16f196fefe0307e4d6ad3b8

Keys: time_period 

                                             type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                        datetime64[ns]      1  2022-07-01 00:00:00  2022-07-01 00:00:00  2022-07-01 00:00:00  2022-07-01 00:00:00  2022-07-01 00:00:00  2022-07-01 00:00:00    
avg_members_per_problem                   float64      1             2.666667             2.666667             2.666667             2.666667             2.666667             2.666667    
pct_members_multiple                      float64      1             0.666667             0.666667             0.666667             0.666667             0.666667             0.666667    
proj_hhi_discussion_comment               float64      1              0.22085              0.22085              0.22085              0.22085              0.22085              0.22085    
proj_hhi_issue_closed                     float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_issue_comment                    float64      1              0.22085              0.22085              0.22085              0.22085              0.22085              0.22085    
proj_hhi_issue_opened                     float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5    
proj_hhi_pull_request_closed              float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_merged              float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_opened              float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5    
proj_hhi_pull_request_review              float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5    
proj_prob_hhi_discussion_comment          float64      1             0.252205             0.252205             0.252205             0.252205             0.252205             0.252205    
proj_prob_hhi_issue_comment               float64      1             0.252205             0.252205             0.252205             0.252205             0.252205             0.252205    
proj_prob_hhi_pull_request_review         float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
num_active_members                          Int64      1                  7.0                  7.0                  7.0                  7.0                  7.0                  7.0    

