File: drive/output/derived/org_outcomes_practices/repo_collaboration/important_degree_top3/rolling5/bluetooth-devices___convertertools.parquet

MD5 hash: f61d7edf4d037929dac16dbd2dd3bea0

Keys: time_period 

                                              type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                         datetime64[ns]      1  2025-01-01 00:00:00  2025-01-01 00:00:00  2025-01-01 00:00:00  2025-01-01 00:00:00  2025-01-01 00:00:00  2025-01-01 00:00:00    
avg_members_per_problem                    float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
pct_members_multiple                       float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0    
proj_hhi_discussion_comment                float64      1             0.510107             0.510107             0.510107             0.510107             0.510107             0.510107    
proj_hhi_pull_request_closed               float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_comment              float64      1             0.510107             0.510107             0.510107             0.510107             0.510107             0.510107    
proj_hhi_pull_request_merged               float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_opened               float64      1             0.608889             0.608889             0.608889             0.608889             0.608889             0.608889    
proj_hhi_pull_request_review               float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_prob_hhi_discussion_comment           float64      1             0.758621             0.758621             0.758621             0.758621             0.758621             0.758621    
proj_prob_hhi_pull_request_comment         float64      1             0.758621             0.758621             0.758621             0.758621             0.758621             0.758621    
proj_prob_hhi_pull_request_review          float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
num_active_members                           Int64      1                  4.0                  4.0                  4.0                  4.0                  4.0                  4.0    

