File: drive/output/derived/org_outcomes_practices/repo_collaboration/important_degree_top3/rolling5/theusaf___kahootpy.parquet

MD5 hash: dcc8cf858df1d0c5288bcadfad9a2016

Keys: time_period 

                                            type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                       datetime64[ns]      1  2020-07-01 00:00:00  2020-07-01 00:00:00  2020-07-01 00:00:00  2020-07-01 00:00:00  2020-07-01 00:00:00  2020-07-01 00:00:00    
avg_members_per_problem                  float64      1                  2.0                  2.0                  2.0                  2.0                  2.0                  2.0    
pct_members_multiple                     float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_discussion_comment              float64      1                 0.52                 0.52                 0.52                 0.52                 0.52                 0.52    
proj_hhi_issue_closed                    float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_issue_comment                   float64      1                 0.52                 0.52                 0.52                 0.52                 0.52                 0.52    
proj_hhi_issue_opened                    float64      1             0.142857             0.142857             0.142857             0.142857             0.142857             0.142857    
proj_prob_hhi_discussion_comment         float64      1                  0.7                  0.7                  0.7                  0.7                  0.7                  0.7    
proj_prob_hhi_issue_comment              float64      1                  0.7                  0.7                  0.7                  0.7                  0.7                  0.7    
num_active_members                         Int64      1                  8.0                  8.0                  8.0                  8.0                  8.0                  8.0    

