File: drive/output/derived/org_outcomes_practices/repo_collaboration/important_degree_top3/rolling5/peterjc___flake8-sfs.parquet

MD5 hash: 76cff83f816914ec515ab9c1dab23871

Keys: time_period 

                                            type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                       datetime64[ns]      1  2020-07-01 00:00:00  2020-07-01 00:00:00  2020-07-01 00:00:00  2020-07-01 00:00:00  2020-07-01 00:00:00  2020-07-01 00:00:00    
avg_members_per_problem                  float64      1                  2.0                  2.0                  2.0                  2.0                  2.0                  2.0    
pct_members_multiple                     float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5    
proj_hhi_discussion_comment              float64      1             0.388889             0.388889             0.388889             0.388889             0.388889             0.388889    
proj_hhi_issue_comment                   float64      1             0.388889             0.388889             0.388889             0.388889             0.388889             0.388889    
proj_hhi_issue_opened                    float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5    
proj_prob_hhi_discussion_comment         float64      1             0.388889             0.388889             0.388889             0.388889             0.388889             0.388889    
proj_prob_hhi_issue_comment              float64      1             0.388889             0.388889             0.388889             0.388889             0.388889             0.388889    
num_active_members                         Int64      1                  3.0                  3.0                  3.0                  3.0                  3.0                  3.0    

