File: drive/output/derived/org_outcomes_practices/repo_collaboration/important_degree_top3/rolling5/ikalnytskyi___picobox.parquet

MD5 hash: 2c346a9a82e974c7035d74e37658404e

Keys: time_period 

                                                     type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                                datetime64[ns]      1  2017-07-01 00:00:00  2017-07-01 00:00:00  2017-07-01 00:00:00  2017-07-01 00:00:00  2017-07-01 00:00:00  2017-07-01 00:00:00    
avg_members_per_problem                           float64      1             1.285714             1.285714             1.285714             1.285714             1.285714             1.285714    
pct_members_multiple                              float64      1             0.285714             0.285714             0.285714             0.285714             0.285714             0.285714    
proj_hhi_discussion_comment                       float64      1             0.328402             0.328402             0.328402             0.328402             0.328402             0.328402    
proj_hhi_issue_closed                             float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_closed                      float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_comment                     float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5    
proj_hhi_pull_request_merged                      float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_opened                      float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_review_comment              float64      1             0.417355             0.417355             0.417355             0.417355             0.417355             0.417355    
proj_prob_hhi_discussion_comment                  float64      1             0.663462             0.663462             0.663462             0.663462             0.663462             0.663462    
proj_prob_hhi_pull_request_comment                float64      1                 0.75                 0.75                 0.75                 0.75                 0.75                 0.75    
proj_prob_hhi_pull_request_review_comment         float64      1             0.794372             0.794372             0.794372             0.794372             0.794372             0.794372    
num_active_members                                  Int64      1                  4.0                  4.0                  4.0                  4.0                  4.0                  4.0    

