File: drive/output/derived/org_outcomes_practices/repo_discussion_quality/all/rolling5/needle-ai___needle-python.parquet

MD5 hash: 1ae4c96834f8f976fff2d4cf04f226ee

Keys: time_period 

                                                          type  count                 mean                  min                  25%                  50%                  75%                  max  std
time_period                                     datetime64[ns]      2  2024-10-01 00:00:00  2024-07-01 00:00:00  2024-08-16 00:00:00  2024-10-01 00:00:00  2024-11-16 00:00:00  2025-01-01 00:00:00     
response_rate                                          float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
mean_days_to_respond                                   float64      0                                                                                                                                   
pos_sentiment_avg                                      float64      1               0.0182               0.0182               0.0182               0.0182               0.0182               0.0182     
neg_sentiment_avg                                      float64      1               0.1048               0.1048               0.1048               0.1048               0.1048               0.1048     
ov_sentiment_avg                                       float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
response_rate_pull_request_opened                      float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_comment_pos_sentiment_avg                 float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_comment_neg_sentiment_avg                 float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_comment_ov_sentiment_avg                  float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_opened_pos_sentiment_avg                  float64      1             0.030333             0.030333             0.030333             0.030333             0.030333             0.030333     
pull_request_opened_neg_sentiment_avg                  float64      1             0.174667             0.174667             0.174667             0.174667             0.174667             0.174667     
pull_request_opened_ov_sentiment_avg                   float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_review_approved_pos_sentiment_avg         float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_review_approved_neg_sentiment_avg         float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_review_approved_ov_sentiment_avg          float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pct_merged_with_approved                               float64      1             0.666667             0.666667             0.666667             0.666667             0.666667             0.666667     
pct_merged_with_review                                 float64      1             0.666667             0.666667             0.666667             0.666667             0.666667             0.666667     
avg_pull_request_comment_count                         float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5     
avg_pull_request_review_count                          float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0     
avg_all_disc_count                                     float64      1                  1.5                  1.5                  1.5                  1.5                  1.5                  1.5     
avg_pull_request_review_exclude_opener_count           float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0     
avg_all_disc_exclude_opener_count                      float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0     
clustering_coefficient                                 float64      2                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0  0.0

