File: drive/output/derived/org_outcomes_practices/repo_discussion_quality/all/rolling5/tgs___pytest-gitignore.parquet

MD5 hash: ddc0619bea504edf7fe1b2d6a018d2fb

Keys: time_period 

                                                         type  count                 mean                  min                  25%                  50%                  75%                  max  std
time_period                                    datetime64[ns]      5  2015-12-31 19:12:00  2015-01-01 00:00:00  2015-07-01 00:00:00  2016-01-01 00:00:00  2016-07-01 00:00:00  2017-01-01 00:00:00     
response_rate                                         float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5     
mean_days_to_respond                                  float64      1             0.053426             0.053426             0.053426             0.053426             0.053426             0.053426     
pos_sentiment_avg                                     float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5     
neg_sentiment_avg                                     float64      1                0.262                0.262                0.262                0.262                0.262                0.262     
ov_sentiment_avg                                      float64      1               0.0722               0.0722               0.0722               0.0722               0.0722               0.0722     
response_rate_pull_request_comment                    float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
response_rate_pull_request_opened                     float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0     
mean_days_to_respond_pull_request_opened              float64      1             0.053426             0.053426             0.053426             0.053426             0.053426             0.053426     
mean_days_to_respond_to_last_comment                  float64      1             0.053426             0.053426             0.053426             0.053426             0.053426             0.053426     
pull_request_comment_pos_sentiment_avg                float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0     
pull_request_comment_neg_sentiment_avg                float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_comment_ov_sentiment_avg                 float64      1               0.4404               0.4404               0.4404               0.4404               0.4404               0.4404     
pull_request_opened_pos_sentiment_avg                 float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_opened_neg_sentiment_avg                 float64      1                0.524                0.524                0.524                0.524                0.524                0.524     
pull_request_opened_ov_sentiment_avg                  float64      1               -0.296               -0.296               -0.296               -0.296               -0.296               -0.296     
avg_pull_request_comment_count                        float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0     
avg_all_disc_count                                    float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0     
avg_pull_request_comment_exclude_opener_count         float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0     
avg_all_disc_exclude_opener_count                     float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0     
clustering_coefficient                                float64      5                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0  0.0

