repo_name,time_period,prs_opened,commits,commit_additions,commit_deletions,commit_changes_total,commit_files_changed_count,pr_commits,pr_commit_additions,pr_commit_deletions,pr_commit_changes_total,pr_commit_files_changed_count,push_commits,push_commit_additions,push_commit_deletions,push_commit_changes_total,push_commit_files_changed_count,commits_lt100,commit_additions_lt100,commit_deletions_lt100,commit_changes_total_lt100,commit_files_changed_count_lt100,push_commits_lt100,push_commit_additions_lt100,push_commit_deletions_lt100,push_commit_changes_total_lt100,push_commit_files_changed_count_lt100,pr_commits_lt100,pr_commit_additions_lt100,pr_commit_deletions_lt100,pr_commit_changes_total_lt100,pr_commit_files_changed_count_lt100,comments,issue_comments,pr_comments,own_issue_comments,helping_issue_comments,own_pr_comments,helping_pr_comments,linked_pr_issue_comments,issues_opened,issues_opened_with_linked_pr,pr_reviews,pr_review_comments,prs_merged,issues_closed,first_period,final_period,closed_issue,closed_in_30_days,closed_in_60_days,closed_in_90_days,closed_in_180_days,closed_in_360_days,prs_closed_unmerged,p_prs_closed_unmerged,p_prs_merged,p_review_state_commented,p_review_state_approved,p_review_state_changes_requested,p_prs_merged_30d,p_prs_merged_60d,p_prs_merged_90d,p_prs_merged_180d,p_prs_merged_360d,prs_closed,p_prs_closed,mean_pr_reviews,time_index,departed_actor_id,last_pre_period,treatment_period,abandoned_date,treated_project,treatment,treatment_group,total_important,total_nodes,mean_cluster_overlap,avg_clusters_per_node,pct_nodes_one_cluster,HHI_normalized_degree,HHI_individual_coverage,HHI_individual_coverage_cluster,normalized_degree,imp_to_other_avg_edge_weight,important,imp_to_other_perc_10,imp_to_other_perc_25,imp_to_other_perc_50,imp_to_other_perc_75,imp_to_other_perc_90,imp_to_imp_avg_edge_weight,imp_to_imp_perc_10,imp_to_imp_perc_25,imp_to_imp_perc_50,imp_to_imp_perc_75,imp_to_imp_perc_90,individual_node_coverage,individual_coverage_cluster,overall_overlap,weighted_overall_overlap,prop_important,total_downloads,total_downloads_one_project,total_downloads_period,total_downloads_one_project_period
DataDog/datadogpy,2015-01-01,29,70,5130,3565,8695,200,38,3592,2931,6523,123,32,1538,634,2172,77,70,5130,3565,8695,200,32,1538,634,2172,77,38,3592,2931,6523,123,101,45,56,19,26,17,39,56,30,36,0,14,31,16,2015-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,1,5708089,2019-01-01,2019-07-01,,1,0,10,1,26,0,1,100,,,,0.84,4.28571428571429,FALSE,1,2,4,7,8,0,0,0,0,0,0,,,,,0.0384615384615385,,,,
DataDog/datadogpy,2015-07-01,22,59,3295,823,4118,156,26,974,339,1313,69,33,2321,484,2805,87,59,3295,823,4118,156,33,2321,484,2805,87,26,974,339,1313,69,95,24,71,7,17,21,50,67,17,38,0,19,26,9,2015-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,2,5708089,2019-01-01,2019-07-01,,1,0,10,1,30,0,1,100,,,,0.896551724137931,3.96153846153846,FALSE,1,1.25,2,5,10,0,0,0,0,0,0,,,,,0.0333333333333333,,,,
DataDog/datadogpy,2016-01-01,16,42,1485,722,2207,88,23,1269,670,1939,71,19,216,52,268,17,42,1485,722,2207,88,19,216,52,268,17,23,1269,670,1939,71,65,24,41,4,20,13,28,33,21,19,0,20,17,9,2015-01-01T00:00:00Z,2023-07-01,1,0.25,0.5,0.5,0.833333333333333,0.833333333333333,2,0.105263157894737,0.894736842105263,0,0,0,0.789473684210526,0.842105263157895,0.842105263157895,0.842105263157895,0.842105263157895,18,0.947368421052632,,3,5708089,2019-01-01,2019-07-01,,1,0,10,1,21,0,1,100,,,,1,3.25,FALSE,1,1,2,4.25,6.40000000000001,0,0,0,0,0,0,,,,,0.0476190476190476,,,,
DataDog/datadogpy,2016-07-01,19,52,1011,436,1447,99,28,539,251,790,60,24,472,185,657,39,52,1011,436,1447,99,24,472,185,657,39,28,539,251,790,60,80,40,40,5,35,9,31,26,24,15,0,13,23,14,2015-01-01T00:00:00Z,2023-07-01,1,0.363636363636364,0.545454545454545,0.545454545454545,0.545454545454545,0.545454545454545,4,0.153846153846154,0.884615384615385,0,0,0,0.846153846153846,0.884615384615385,0.884615384615385,0.884615384615385,0.884615384615385,25,0.961538461538461,,4,5708089,2019-01-01,2019-07-01,,1,0,10,1,31,0,1,100,,,,0.933333333333333,2.85714285714286,FALSE,1,1,2,4.25,6.3,0,0,0,0,0,0,,,,,0.032258064516129,,,,
DataDog/datadogpy,2017-01-01,15.5,36,766,444,1210,94,18,545,320,865,67,18,221,124,345,27,36,766,444,1210,94,18,221,124,345,27,18,545,320,865,67,55,26,29,14,12,13,16,17,20,9,0,10,16,8,2015-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,5,5708089,2019-01-01,2019-07-01,,1,0,10,1,16,0,1,100,,,,0.8,4.41666666666667,FALSE,1.1,2,3,5.25,8.7,0,0,0,0,0,0,,,,,0.0625,,,,
DataDog/datadogpy,2017-07-01,9,19,122,73,195,22,9,48,37,85,10,10,74,36,110,12,19,122,73,195,22,10,74,36,110,12,9,48,37,85,10,35,15,20,2,13,7,13,8,15,8,0,0,10,1,2015-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,6,5708089,2019-01-01,2019-07-01,,1,0,10,1,21,0,1,100,,,,0.5,1.9,FALSE,1,1,1.5,2,4,0,0,0,0,0,0,,,,,0.0476190476190476,,,,
DataDog/datadogpy,2018-01-01,17.5,45,2286,582,2868,143,21,1694,381,2075,85,24,592,201,793,58,45,2286,582,2868,143,24,592,201,793,58,21,1694,381,2075,85,37,12,25,2,10,8,17,10,12,9,0,10,19,2,2015-01-01T00:00:00Z,2023-07-01,0.916666666666667,0,0,0,0.0833333333333333,0.333333333333333,2,0.0909090909090909,0.863636363636364,0,0,0,0.545454545454545,0.727272727272727,0.772727272727273,0.772727272727273,0.863636363636364,21,0.954545454545455,,7,5708089,2019-01-01,2019-07-01,,1,0,10,1,21,0,1,100,,,,0.5,2.3,FALSE,1,2,2,2,4.1,0,0,0,0,0,0,,,,,0.0476190476190476,,,,
DataDog/datadogpy,2018-07-01,13,38,2122,551,2673,147,17,282,144,426,29,21,1840,407,2247,118,38,2122,551,2673,147,21,1840,407,2247,118,17,282,144,426,29,51,23,28,5,18,9,19,11,21,9,0,12,19,6,2015-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,8,5708089,2019-01-01,2019-07-01,,1,0,10,1,24,0,1,100,,,,0.652173913043478,2.13333333333333,FALSE,1,1,2,2.5,4,0,0,0,0,0,0,,,,,0.0416666666666667,,,,
DataDog/datadogpy,2019-01-01,52.5,133,4132,1935,6067,243,78,1945,1143,3088,133,55,2187,792,2979,110,133,4132,1935,6067,243,55,2187,792,2979,110,78,1945,1143,3088,133,156,110,46,24,86,22,24,43,77,34,0,48,53,44,2015-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,9,5708089,2019-01-01,2019-07-01,,1,0,10,3,59,17.948717948718,1.10526315789474,92.1052631578947,0.382510410469958,0.375283446712018,0.375283446712018,0.155172413793103,2.33333333333333,TRUE,1,1,2,3,4,0,0,0,0,0,0,16.9491525423729,26.3157894736842,22.2222222222222,33.3333333333333,0.0508474576271187,17101770,17101770,12574058189,12144150087
DataDog/datadogpy,2019-07-01,47.5,123,14368,7183,21551,496,71,8478,4730,13208,278,52,5890,2453,8343,218,123,14368,7183,21551,496,52,5890,2453,8343,218,71,8478,4730,13208,278,386,65,321,13,52,126,195,287,53,114,0,263,60,30,2015-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,10,5708089,2019-01-01,2019-07-01,,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,24524033,24524033,17417408741,16836557216
