File: drive/output/derived/org_outcomes_practices/repo_collaboration/important_degree_z2/rolling5/snoack___flake8-per-file-ignores.parquet

MD5 hash: f18da5294ab768a096715edd71beb40e

Keys: time_period 

                                              type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                         datetime64[ns]      1  2018-01-01 00:00:00  2018-01-01 00:00:00  2018-01-01 00:00:00  2018-01-01 00:00:00  2018-01-01 00:00:00  2018-01-01 00:00:00    
avg_members_per_problem                    float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
pct_members_multiple                       float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0    
proj_hhi_discussion_comment                float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_closed               float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_comment              float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_merged               float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_prob_hhi_discussion_comment           float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_prob_hhi_pull_request_comment         float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
num_active_members                           Int64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    

